Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.004,"[{}, {}, {}, {}, {}]",0.3869194571295546,0.0689760950457299,675.6802270636701,33.64326151518981,16.948849263469207,1.2517498108796454,-0.3838309449535011,0.9327373541510694,1173.4178305066375,480.1407995215539,21.035174351041512,5.73670282707131,"[0.3229451002793947, 0.4766916340048707, -1.629641706987249, -1.1085973590709766, 0.019447607006454648]","[782.732198729813, 758.8102805762147, 1881.3012973787409, 1436.3220543817497, 1007.9233214666692]","[17.527452456196354, 23.728657479862438, 19.120569541114367, 29.634617487931493, 15.164574790102916]","[0.35856831606760475, 0.2835673630639556, 0.4441954627244724, 0.4514745892176165, 0.39679155457412396]","[706.5092756163538, 713.6985138775343, 648.3534314236646, 638.7501636789817, 671.0897507218168]","[17.757090084445817, 15.693842600452959, 17.84572873328499, 15.472089312869233, 17.975495586293047]",,
BayesianRidge,12.381,2.476,0.002,"[{""max_iter"": 491, ""alpha_1"": 1.6393296161158828e-06, ""alpha_2"": 6.028011759248959e-07, ""lambda_1"": 1.1199757330057288e-07, ""lambda_2"": 9.881441206883563e-06}, {""max_iter"": 104, ""alpha_1"": 1.291265609995995e-07, ""alpha_2"": 1.0813227721735459e-07, ""lambda_1"": 1.0828587725815997e-07, ""lambda_2"": 9.996032303046484e-06}, {""max_iter"": 261, ""alpha_1"": 9.894409531609568e-06, ""alpha_2"": 9.80305896367785e-06, ""lambda_1"": 1.0270986991488206e-07, ""lambda_2"": 8.260904518696861e-06}, {""max_iter"": 278, ""alpha_1"": 9.997210389099821e-06, ""alpha_2"": 6.183439970956683e-06, ""lambda_1"": 1.0359768165672135e-07, ""lambda_2"": 9.810373971869005e-06}, {""max_iter"": 469, ""alpha_1"": 9.689643172732465e-06, ""alpha_2"": 5.451956133946618e-07, ""lambda_1"": 1.0192053278405198e-07, ""lambda_2"": 5.846393772038128e-07}]",0.3552717283631519,0.0840857350604857,709.8984989825271,46.15837500545022,17.053610868029516,1.3511458630167783,-0.1921035349254572,0.5429599297037289,1066.774552854583,157.2754402408819,20.496529602441047,6.02468584097153,"[0.2013715837285036, 0.3537539950386105, -0.6597724501260256, -0.8731832405294291, 0.017312437261054248]","[923.2813712658407, 937.0729462990737, 1187.4363170764557, 1275.9640377507126, 1010.1180918808324]","[18.654642465268207, 26.02056566167309, 16.160100191282904, 27.61562000149944, 14.031719692481595]","[0.32652497529014146, 0.22558120490513967, 0.42642671020437406, 0.4286071912550695, 0.3692185601610348]","[741.8036304917197, 771.4633793649632, 669.0809190490717, 665.3789285536214, 701.76563745326]","[17.87654115334134, 15.778514856280598, 18.121748079173557, 15.391249080755095, 18.10000117059699]",,
SVR,5.106,1.021,0.004,"[{""C"": 86.96507497276568, ""gamma"": 0.4424650786386605, ""epsilon"": 0.006399984699498061}, {""C"": 183.36801933278986, ""gamma"": 0.11646581756157763, ""epsilon"": 0.061484954082470546}, {""C"": 71.1620884772992, ""gamma"": 0.47173851552532703, ""epsilon"": 0.0017516166676640912}, {""C"": 9146.44502067421, ""gamma"": 0.0005845185703454938, ""epsilon"": 0.003281177206384957}, {""C"": 1219.0003498783974, ""gamma"": 0.31484596057356756, ""epsilon"": 0.008161667688462857}]",0.9050437854752762,0.2065737378857951,110.23821600710896,240.7272448869958,3.0549880945181926,5.566145513297297,-0.2029337840540135,1.1132705893272046,1027.4930226453057,648.5570452451482,19.240856534806447,7.821366348054241,"[0.31153404467168, 0.5011736441685946, 0.2268479108917547, -2.179021235839107, 0.12479671583701013]","[795.9243352158505, 723.3107506459443, 553.1293576784902, 2165.4671494018207, 899.6335202844226]","[17.149830737720027, 19.52705011444071, 10.080046996356785, 31.659011204063205, 17.788343621451517]","[0.9995473042043252, 0.9901791635732753, 0.9999706704303116, 0.5355889848596663, 0.9999328043088019]","[0.4986248523240185, 9.78335715240944, 0.03421333557808839, 540.8001272212659, 0.07475747396716914]","[0.2508001797497634, 1.7933499059378015, 0.07510981744523884, 12.932840405353083, 0.22284016410507576]",,
DecisionTree,5.825,1.165,0.002,"[{""max_depth"": 25, ""min_samples_split"": 10, ""min_samples_leaf"": 14}, {""max_depth"": 6, ""min_samples_split"": 4, ""min_samples_leaf"": 5}, {""max_depth"": 16, ""min_samples_split"": 19, ""min_samples_leaf"": 2}, {""max_depth"": 49, ""min_samples_split"": 15, ""min_samples_leaf"": 9}, {""max_depth"": 24, ""min_samples_split"": 3, ""min_samples_leaf"": 18}]",0.5353592720978192,0.1853976480759165,515.0606837778015,207.00788384187837,14.308278713333952,3.955791465707516,-0.1461727861446718,0.4288014582743616,1091.526596947588,280.16985981794704,21.289284298047527,8.01664200143109,"[0.09173901387606165, 0.12969519689225295, 0.1356408617033925, -0.865585894257568, -0.22235310893749816]","[1050.0258088120627, 1261.9638338424031, 618.3808098106283, 1270.7889217153513, 1256.4736105574957]","[21.518007967153995, 29.907446270060262, 11.41256392694081, 28.31040180402995, 15.298001522052635]","[0.36597661556596883, 0.6757355963331788, 0.6995845680517762, 0.630509003543241, 0.30499057699493115]","[698.349353923602, 323.0269128862349, 350.43862202171584, 430.267093967499, 773.2214360899555]","[17.031209069601807, 10.060562696416886, 11.546523199376765, 13.263980300950411, 19.6391183003239]",,
RandomForest,29.928,5.986,0.106,"[{""n_estimators"": 51, ""max_depth"": 27, ""min_samples_split"": 8, ""min_samples_leaf"": 6}, {""n_estimators"": 152, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 3}, {""n_estimators"": 87, ""max_depth"": 50, ""min_samples_split"": 6, ""min_samples_leaf"": 2}, {""n_estimators"": 117, ""max_depth"": 38, ""min_samples_split"": 5, ""min_samples_leaf"": 5}, {""n_estimators"": 94, ""max_depth"": 49, ""min_samples_split"": 3, ""min_samples_leaf"": 1}]",0.7197591718556835,0.1264957503370895,310.538110753212,142.596746226479,9.722540992975654,2.7894538505494397,-0.1471140134087192,0.5488808467870017,1054.163737026471,369.5654067161926,19.08353241113209,7.245278720857225,"[0.4391754188039375, 0.30816671215890756, -0.09845842686243111, -0.8616397622704168, -0.5228140088735935]","[648.3602108521317, 1003.1756520084961, 785.8603923423864, 1268.1009185371895, 1565.3215113921503]","[15.072345369193757, 27.388597247170594, 12.628118326817276, 26.524490843820487, 13.804110268658338]","[0.5675227805549206, 0.722791733612518, 0.7791401915919214, 0.6357143631432487, 0.8936267903758089]","[476.3549645030035, 276.15035602150397, 257.63592241774927, 424.2055255676498, 118.3437852561533]","[13.201196853658798, 8.662469856041183, 8.50341476586286, 11.924043136808615, 6.321580352506811]",,
XGBoost,15.888,3.178,0.047,"[{""n_estimators"": 111, ""learning_rate"": 0.2974665250601248, ""max_depth"": 5, ""subsample"": 0.612494782053686, ""colsample_bytree"": 0.6728665286355116}, {""n_estimators"": 200, ""learning_rate"": 0.14199570328289762, ""max_depth"": 3, ""subsample"": 0.9523147870399914, ""colsample_bytree"": 0.7375854974346051}, {""n_estimators"": 101, ""learning_rate"": 0.2846583362239086, ""max_depth"": 8, ""subsample"": 0.8951621921132853, ""colsample_bytree"": 0.8830643695806887}, {""n_estimators"": 50, ""learning_rate"": 0.03199999629792169, ""max_depth"": 5, ""subsample"": 0.6061127453954573, ""colsample_bytree"": 0.8639496069727559}, {""n_estimators"": 73, ""learning_rate"": 0.21475988511435415, ""max_depth"": 3, ""subsample"": 0.6013584990203605, ""colsample_bytree"": 0.7582624253738081}]",0.9481249054675,0.1132719451335909,60.35271782335128,131.93260750302915,2.3740479623618778,4.330779626209849,-0.064648546555267,0.6634890161958482,982.2019158859084,421.7535359165231,19.041554536421025,8.122765752596173,"[0.4199954412742716, 0.27553179289327256, 0.37708778522604336, -1.1523787092950815, -0.24347904287484146]","[670.5338720863671, 1050.4971050058077, 445.6445738191176, 1466.14477925, 1278.1892492682491]","[16.626285959492773, 27.80298052496118, 10.2934617148913, 27.38070868346818, 13.104335799291695]","[0.9999979765786076, 0.9998224648399705, 0.9999996484025901, 0.7455301641330327, 0.9952742733832993]","[0.0022287112066060183, 0.17685763230435964, 0.0004101430842967923, 296.3265623000908, 5.257530330070327]","[0.025934057095748312, 0.24913259877518149, 0.012679926995365026, 10.037606950939436, 1.5448862780036594]",,
GPR,38.36,7.672,0.384,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 7.337862155633467e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 1.9547565209799023e-09}, {""kernel"": ""RationalQuadratic"", ""alpha"": 3.2470224065110946e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 7.756692549246501e-09}, {""kernel"": ""RationalQuadratic"", ""alpha"": 8.49854777943092e-09}]",0.9999999999999996,8.270975252328749e-16,4.719894172905839e-13,9.10371702087221e-13,1.838644245474088e-07,2.045503112742607e-07,-0.0337401685226934,0.4121094485593025,971.4161419446848,225.84490805617864,18.88000599728303,7.9140067853142675,"[0.24712833504883558, 0.21116396183632158, 0.11163854115042937, -0.7527963540180316, 0.014164673368977754]","[870.3827324959622, 1143.8320774966967, 635.5525776132177, 1193.9596003407858, 1013.3537217767613]","[16.68392231088828, 28.610187007399173, 10.424078311205209, 25.629768803585762, 13.052073553336724]","[1.0, 0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999981]","[2.2378943335034666e-14, 9.72636249228957e-14, 3.672258688892919e-15, 1.3909701572320617e-13, 2.097535243782889e-12]","[5.081729236199348e-08, 1.0196382875889268e-07, 2.0593755322480885e-08, 2.2335379996602193e-07, 5.225934463276549e-07]",,
NNR,3428.655,685.731,3.346,"[{""hidden_layers"": 4, ""units"": 77, ""activation"": ""relu"", ""learning_rate"": 0.0018499510050901614}, {""hidden_layers"": 4, ""units"": 98, ""activation"": ""selu"", ""learning_rate"": 0.0015277018491798773}, {""hidden_layers"": 2, ""units"": 86, ""activation"": ""selu"", ""learning_rate"": 0.0014765762981839934}, {""hidden_layers"": 3, ""units"": 95, ""activation"": ""selu"", ""learning_rate"": 0.002214384380792997}, {""hidden_layers"": 4, ""units"": 61, ""activation"": ""selu"", ""learning_rate"": 0.005826236212040138}]",0.9602986153866688,0.0338410843193713,45.1338547653392,40.16018537493174,3.693495829307774,1.8010049966452917,0.1110767253800592,0.4178058332242155,855.2088833659725,424.7220948957207,15.297796079931691,2.9151545275256083,"[0.27499528673864004, 0.5504344913908131, 0.29619251523292967, -0.024959116610637988, -0.5412795498514487]","[838.1662011968617, 651.8812843292111, 503.51876100799086, 698.1756747889111, 1584.3024955068881]","[13.940452530096692, 17.09619747995589, 10.782288445825667, 16.999242134688544, 17.670799809091655]","[0.9920930424479607, 0.9734470914538741, 0.9308905651355962, 0.9178064953563181, 0.9872558825395941]","[8.709171985662794, 26.451574637278615, 80.61708070561181, 95.71318577496079, 14.178260723181968]","[1.7835073037637044, 3.0406206372002478, 5.295129270057801, 5.88772736392791, 2.460494571589207]",100.0,8.0
Ridge,4.827,0.965,0.002,"[{""alpha"": 7.606664311222216}, {""alpha"": 12.207616599582778}, {""alpha"": 3.50791107287532}, {""alpha"": 5.550315771451078}, {""alpha"": 6.506943822359779}]",0.3669945426808346,0.07632881290513423,697.3234499573875,38.303145171231556,16.97330925175114,1.3631608873953975,-0.18679600228301685,0.5755696544071063,1053.1387579156044,190.8707655677212,20.43458186819014,5.907226808866611,"[0.24206865473190053, 0.39266757829304444, -0.7013289564202683, -0.8912729929609287, 0.023885704941167707]","[876.2321469245096, 880.6472727454471, 1217.166720651267, 1288.2863098354678, 1003.3613394213306]","[18.30007719069445, 25.482807733941105, 16.317922433255724, 27.81359496260748, 14.25850702045194]","[0.34418948132156546, 0.24755260781872768, 0.42822039992935457, 0.43477309719346635, 0.38023712714105895]","[722.3469406009575, 749.5758259526916, 666.9885559787717, 658.1988173865516, 689.5071098679649]","[17.735070315824412, 15.572951709670486, 18.1062923500566, 15.40594748850842, 18.04628439469577]",,
Lasso,4.901,0.98,0.002,"[{""alpha"": 1.4166497754032057}, {""alpha"": 2.5481766859600854}, {""alpha"": 0.9211351955521094}, {""alpha"": 1.4441743144543822}, {""alpha"": 1.131929747208432}]",0.0,0.0,1108.2347216792464,69.24677457717937,20.843565766159443,1.7012131062660691,-0.2065014793714818,0.1778611365783674,1176.5266397288874,264.83464079194056,21.37635831927151,8.79366225015644,"[-0.013954353430884803, -0.1162398062947132, -0.3446509579711834, -0.43971670816241737, -0.11794557099821024]","[1172.2161981253419, 1618.5757684078656, 961.9917363765103, 980.6978326609801, 1149.1516630737399]","[18.831065594904743, 34.88181244765903, 12.306812642989575, 24.696862460370248, 16.165238450433954]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1101.4567775713704, 996.183698344337, 1166.5133836470607, 1164.486003971825, 1112.533744861638]","[21.216084427291506, 18.001957039880566, 22.516471351953196, 20.88992951395011, 21.593386497721838]",,
ElasticNet,5.433,1.087,0.002,"[{""alpha"": 0.6839610721826815, ""l1_ratio"": 0.928679575628995}, {""alpha"": 0.8631590389917417, ""l1_ratio"": 0.7936187759226282}, {""alpha"": 0.14441760799094636, ""l1_ratio"": 0.6305119591260955}, {""alpha"": 0.3881645954364603, ""l1_ratio"": 0.8032728718324833}, {""alpha"": 0.389651653225029, ""l1_ratio"": 0.7716551765751286}]",0.10004171350043926,0.11994906256272998,992.4873345843664,101.04008333258555,19.59976728358685,1.2442890665850566,-0.11154949107098763,0.1950024328218395,1103.6638953586018,342.1586725417155,20.841586694645578,9.243593009170008,"[-0.013954353430884803, -0.1162398062947132, 0.054625174685415834, -0.44280918352970455, -0.03936928678505147]","[1172.2161981253419, 1618.5757684078656, 676.3411458860588, 982.8043470002676, 1068.3820173734746]","[18.831065594904743, 34.88181244765903, 11.074029167056727, 24.327984177990352, 15.093042085617055]","[0.0, 0.0, 0.2914216632896457, 0.125253235415273, 0.08353366879727764]","[1101.4567775713704, 996.183698344337, 826.5661131350017, 1018.6303643785516, 1019.5997194925709]","[21.216084427291506, 18.001957039880566, 19.155359959066487, 19.20470886717767, 20.420726124518023]",,
