Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.002,"[{}, {}, {}, {}, {}, {}]",0.7464325911874913,0.011893588107597,1656.6920437745127,217.81458321303643,10.329370419464192,0.4320971985260316,0.581562612198423,,2752.990805153173,,14.934493947860558,,"[0.738580973343537, 0.5074820043064745, 0.13112125502964866, 0.5672631191453807, 0.4549061474959848, 0.3735341558900366]","[936.2486348469537, 2364.0492957640818, 6816.580547936321, 1510.0438530588465, 3230.8705920044213, 3862.3220257647517]","[8.9204871756507, 12.201500651998394, 24.544392094343596, 9.657079495229784, 15.78396665755368, 22.48660401374502]","[0.733397814177774, 0.7440454283631377, 0.7362656494320345, 0.7460438094616679, 0.7526854789331825, 0.766157366757151]","[1911.7243587512291, 1689.8924598885906, 1623.4067433712157, 1854.9628696902332, 1548.2979489867143, 1311.8678819590928]","[10.619258231877016, 10.506737563041165, 10.313221103603482, 10.886033927682536, 9.818019001951136, 9.832952688629826]",,
BayesianRidge,12.373,2.062,0.002,"[{""max_iter"": 114, ""alpha_1"": 4.904257890009136e-06, ""alpha_2"": 6.978448399297869e-06, ""lambda_1"": 1.8691359176118327e-07, ""lambda_2"": 8.044230012348883e-07}, {""max_iter"": 369, ""alpha_1"": 9.995958406213328e-06, ""alpha_2"": 3.163379289613356e-07, ""lambda_1"": 1.0271979599470018e-07, ""lambda_2"": 2.8411711486011775e-07}, {""max_iter"": 496, ""alpha_1"": 1.1567436237473207e-07, ""alpha_2"": 4.809970370808745e-07, ""lambda_1"": 9.68708268124404e-06, ""lambda_2"": 6.9850258949608845e-06}, {""max_iter"": 387, ""alpha_1"": 5.5492419601786425e-06, ""alpha_2"": 9.770567405146878e-06, ""lambda_1"": 9.990712056410445e-06, ""lambda_2"": 7.361851800008523e-07}, {""max_iter"": 474, ""alpha_1"": 3.779798035335958e-06, ""alpha_2"": 2.0492425743679e-07, ""lambda_1"": 9.863332677472969e-06, ""lambda_2"": 4.656253024497563e-07}, {""max_iter"": 453, ""alpha_1"": 5.876380823455353e-07, ""alpha_2"": 8.588113777984521e-06, ""lambda_1"": 9.85806407183789e-06, ""lambda_2"": 9.698823149376631e-06}]",0.7422763733533421,0.0123992483171572,1684.4983924863034,228.0364958361268,10.471983317093637,0.493876299327499,0.6130725526746466,,2545.680036730389,,14.215336582008431,,"[0.7233110727633776, 0.5748339834136712, 0.4609761589537601, 0.5520028471150775, 0.48617531684861015, 0.33524240993050536]","[990.9364047284103, 2040.7648672378111, 4228.7827283369625, 1563.2948723152958, 3045.5325273138847, 4098.400425273673]","[9.398874549670081, 10.338960027718091, 19.676759594581018, 8.321895385724657, 14.856772496044787, 23.6916922125687]","[0.7292660543671138, 0.7398780433717524, 0.7330014546898661, 0.7385907303268908, 0.7496907397675111, 0.7632312175969185]","[1941.3519698309656, 1717.4068442942205, 1643.4993697003274, 1909.4021217146405, 1567.046336618618, 1328.2837127590483]","[10.865309835938824, 10.658941361393264, 10.388933748317196, 11.096121637973742, 9.862691084217005, 9.959902234721781]",,
SVR,5.661,0.943,0.009,"[{""C"": 184.2362842208341, ""gamma"": 0.006557804388914616, ""epsilon"": 0.01099770928201715}, {""C"": 7532.451375704955, ""gamma"": 0.0024695596248508578, ""epsilon"": 0.0023922001195175874}, {""C"": 2571.1904029657094, ""gamma"": 0.0029528595404462376, ""epsilon"": 0.0011269153191804091}, {""C"": 101.54277876059895, ""gamma"": 0.03631704730673667, ""epsilon"": 0.05231111003743062}, {""C"": 206.72650343934032, ""gamma"": 0.02219015921846649, ""epsilon"": 0.001031397316775391}, {""C"": 113.3408677927076, ""gamma"": 0.04030219530666729, ""epsilon"": 0.024152294420987135}]",0.8697911803520508,0.0685564230655921,861.7904607971108,494.0033363509893,4.94476053892222,1.5503536111670349,0.2932410819740931,,4649.921014486347,,17.7235784797211,,"[0.5711265983057676, 0.15601269182516175, -0.9045037648584906, 0.31963242282201165, 0.34420418616037174, -0.06147780146553994]","[1535.9713560025498, 4051.0755322047166, 14941.329146506934, 2374.1560361325387, 3887.0212891979986, 6544.281912584315]","[11.157277021697775, 17.68404912079221, 25.224801542992935, 8.830350959646676, 19.170267181528015, 28.90534071520633]","[0.7691374897300594, 0.8381078230092309, 0.8255500730977792, 0.9260455038913401, 0.9285076851083471, 0.9313985072755483]","[1655.4458585714542, 1068.8629918272936, 1073.819876340675, 540.1831081078083, 447.57341395717214, 384.85751597826163]","[6.8366338145373255, 5.6464156682622315, 6.382334297044233, 4.15605550919926, 3.348398111584157, 3.298725832906113]",,
DecisionTree,6.295,1.049,0.001,"[{""max_depth"": 13, ""min_samples_split"": 6, ""min_samples_leaf"": 5}, {""max_depth"": 6, ""min_samples_split"": 8, ""min_samples_leaf"": 14}, {""max_depth"": 14, ""min_samples_split"": 20, ""min_samples_leaf"": 15}, {""max_depth"": 30, ""min_samples_split"": 19, ""min_samples_leaf"": 1}, {""max_depth"": 20, ""min_samples_split"": 19, ""min_samples_leaf"": 12}, {""max_depth"": 25, ""min_samples_split"": 17, ""min_samples_leaf"": 17}]",0.6839550764777229,0.0880577006313577,2016.1411466984932,425.5199352355637,11.067038970096924,1.848532535634848,0.4963304856424648,,3313.751548701911,,15.856543045235725,,"[0.2009428553485837, 0.46273413243658656, 0.5534117086912578, 0.12405850078470237, 0.4645814010822439, 0.30188047384700556]","[2861.7509995847035, 2578.835711501013, 3503.601713234645, 3056.61508193378, 3173.523600952454, 4304.0852870565595]","[13.1729100525803, 13.339484479836672, 15.306699557078895, 12.262049653980354, 14.651835125828743, 24.114543171853185]","[0.7929910508574344, 0.6423948008124771, 0.6221943351546773, 0.8002298230557582, 0.6367396145787121, 0.6091808344072787]","[1484.3991219907878, 2361.021824534272, 2325.568370873569, 1459.1739619242846, 2274.1701832540157, 2192.5134176140314]","[8.779791592499112, 12.25996883965209, 11.718033922032088, 8.686161224280655, 12.060597906937263, 12.897680335180345]",,
RandomForest,29.897,4.983,0.073,"[{""n_estimators"": 107, ""max_depth"": 47, ""min_samples_split"": 3, ""min_samples_leaf"": 1}, {""n_estimators"": 112, ""max_depth"": 18, ""min_samples_split"": 10, ""min_samples_leaf"": 1}, {""n_estimators"": 60, ""max_depth"": 13, ""min_samples_split"": 6, ""min_samples_leaf"": 9}, {""n_estimators"": 51, ""max_depth"": 32, ""min_samples_split"": 3, ""min_samples_leaf"": 6}, {""n_estimators"": 62, ""max_depth"": 18, ""min_samples_split"": 2, ""min_samples_leaf"": 1}, {""n_estimators"": 70, ""max_depth"": 22, ""min_samples_split"": 5, ""min_samples_leaf"": 2}]",0.8543457325199469,0.0947448547809321,951.352693743463,617.978707278862,6.880709506102672,2.388888647685512,0.4984249737249551,,3299.971454951463,,14.503437160288687,,"[0.4541904614235577, 0.7288661074664846, 0.6416647221777636, 0.23312752071278642, 0.19101652337317865, 0.18135431454290352]","[1954.7675695777673, 1301.422269452432, 2811.2337867417427, 2676.0165926709988, 4794.992480734023, 5047.159860295949]","[12.14236267990817, 10.112002601296782, 14.387804871505846, 10.75279755671064, 17.467429472902012, 20.33158295556269]","[0.9351018050840065, 0.8535534928207844, 0.7004206012975291, 0.7888485237693588, 0.9421525779935445, 0.9059973941544586]","[465.36550207663987, 966.8858292958705, 1844.0495710222378, 1542.3059680405768, 362.1503681240216, 527.3589239014311]","[4.871456416393129, 6.926615100066115, 10.095561149021222, 9.35865317008373, 4.286303074614726, 5.7456681264371126]",,
XGBoost,14.522,2.42,0.055,"[{""n_estimators"": 78, ""learning_rate"": 0.023980194434153956, ""max_depth"": 5, ""subsample"": 0.6877051560728961, ""colsample_bytree"": 0.9454142636216566}, {""n_estimators"": 68, ""learning_rate"": 0.02823260606345889, ""max_depth"": 6, ""subsample"": 0.682037199648172, ""colsample_bytree"": 0.989115244048487}, {""n_estimators"": 51, ""learning_rate"": 0.03756539350105468, ""max_depth"": 4, ""subsample"": 0.7414149679544646, ""colsample_bytree"": 0.8826221353108299}, {""n_estimators"": 63, ""learning_rate"": 0.03690254459623597, ""max_depth"": 10, ""subsample"": 0.7566557438905632, ""colsample_bytree"": 0.9822312421441517}, {""n_estimators"": 88, ""learning_rate"": 0.035930593770572304, ""max_depth"": 8, ""subsample"": 0.675328836235133, ""colsample_bytree"": 0.7778531589638378}, {""n_estimators"": 182, ""learning_rate"": 0.03157153659355122, ""max_depth"": 7, ""subsample"": 0.6000683094115896, ""colsample_bytree"": 0.6662413507063774}]",0.920097759199204,0.048338791197919,532.6071271696311,326.2786843370701,5.135265862076826,2.240519978258347,0.5272296741987252,,3110.459050321205,,14.089981965254031,,"[0.4292048489557242, 0.7069483237367049, 0.6620223558054567, 0.34251236002807084, 0.2844118574693927, 0.19473453881135216]","[2044.2512841452044, 1406.6259810815552, 2651.5228372084084, 2294.316045447785, 4241.421316840438, 4964.667358290317]","[11.898549799753328, 10.198492348702842, 13.920637018720901, 10.949149453606836, 16.228171428553523, 19.508973334450744]","[0.8804423961990065, 0.8735906930768572, 0.8813653231718521, 0.9410249954953728, 0.9546897089466769, 0.9894734383054588]","[857.3117386692978, 834.5939408819554, 730.2512317630324, 430.7689580789542, 283.66240042531746, 59.05449319922847]","[7.13537532518921, 6.689577756906294, 7.070668802565598, 4.788365293582865, 3.45609563709707, 1.6715123571199193]",,
GPR,37.837,6.306,0.295,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 2.0057322817130547e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}]",0.9650352506839326,0.0187469693355745,223.91972846869967,124.8618666211657,3.5449343561280933,1.780973955001249,0.4769900578473279,,3440.996439908882,,15.068589671943508,,"[0.5088626280399514, 0.650177611472692, 0.2540575712238786, 0.44049749155829765, 0.2661419856465035, 0.08835860107856797]","[1758.964142362083, 1679.12112546462, 5852.113058709005, 1952.395002651134, 4349.710176311345, 5620.502199374796]","[11.972264265526013, 10.835619524360506, 16.43447255418256, 8.65577916034959, 18.427477980210778, 23.49328097299508]","[1.0, 0.9609954828369258, 0.9643301071158099, 0.9487073501112548, 0.9668870189851435, 0.9492915450544619]","[2.067136884330009e-15, 257.5200709795852, 219.5646661832939, 374.65501758375825, 207.3018614878945, 284.47675457766627]","[7.385464539148264e-09, 4.227389362653479, 3.9615215959840016, 4.9771189993631895, 3.84138658609606, 4.262189585286366]",,
NNR,3921.204,653.534,3.205,"[{""hidden_layers"": 4, ""units"": 105, ""activation"": ""tanh"", ""learning_rate"": 0.0008597726148544381}, {""hidden_layers"": 2, ""units"": 32, ""activation"": ""tanh"", ""learning_rate"": 0.0003044039832232957}, {""hidden_layers"": 4, ""units"": 60, ""activation"": ""tanh"", ""learning_rate"": 0.0002847237407464145}, {""hidden_layers"": 3, ""units"": 102, ""activation"": ""tanh"", ""learning_rate"": 2.3398356928277795e-05}, {""hidden_layers"": 1, ""units"": 42, ""activation"": ""tanh"", ""learning_rate"": 0.0001474750032463686}, {""hidden_layers"": 4, ""units"": 73, ""activation"": ""selu"", ""learning_rate"": 9.020821987806661e-05}]",0.8348638255367892,0.0969990656629536,1076.0581785347636,672.2610022248261,7.894851409404051,2.664899205998375,0.5680842248367721,,2841.6680542629324,,14.786805858563143,,"[0.46869340310879926, 0.7206044946656248, 0.7507201156822367, 0.3673089618190374, 0.5110045605139797, 0.15071331527265786]","[1902.8265937133135, 1341.077388848113, 1955.6657591966584, 2207.787816013658, 2898.3650756692823, 5236.069451274605]","[12.21372858102169, 9.123258290136754, 12.208148264881286, 9.432202328553432, 14.759669279536919, 26.16330264233047]","[0.9867039285125079, 0.7946582341554379, 0.8714508948775934, 0.748567889308318, 0.727516475107521, 0.8802855312593575]","[95.34214305086634, 1355.7308220040354, 791.2791172656532, 1836.5263260259728, 1705.867010573608, 671.6036522884448]","[3.1464000496072253, 9.383174557556014, 7.428843659236834, 10.358172574743074, 9.879602405743771, 7.172915209537385]",100.0,8.0
Ridge,6.818,1.136,0.002,"[{""alpha"": 0.0010067024019864178}, {""alpha"": 0.8793498572492559}, {""alpha"": 6.693611993210212}, {""alpha"": 12.432244382133538}, {""alpha"": 5.139833815525135}, {""alpha"": 4.337796526527753}]",0.7376996520116622,0.014792982599076045,1715.1348830972718,244.7572051311897,10.525661744074013,0.5027092071534534,0.613699962211572,,2541.5521725944996,,13.876794479010481,,"[0.7385799312233954, 0.5405222188382466, 0.616418057538248, 0.4338375497114938, 0.5086401548650996, 0.3249479669018952]","[936.2523671061253, 2205.458753735778, 3009.3004606915893, 1975.635000655543, 2912.379338797446, 4161.868297347163]","[8.920675300690096, 11.373381359683005, 15.740824155788777, 8.574004686350378, 14.09457244558504, 23.90393745156912]","[0.7333978135823164, 0.7434771939411158, 0.7248959194523896, 0.7200440706088049, 0.7436300348598386, 0.7607528796255084]","[1911.7243630210774, 1693.6441219866076, 1693.392682933187, 2044.8718067059813, 1604.9890216558133, 1342.187302280964]","[10.61935551036266, 10.519049223137907, 10.559640680109737, 11.397694151773896, 10.034062877442471, 10.024168021617395]",,
Lasso,6.478,1.08,0.002,"[{""alpha"": 1.2583240448460926}, {""alpha"": 1.335894490864928}, {""alpha"": 2.155685231182645}, {""alpha"": 3.508757466890074}, {""alpha"": 2.216028896176881}, {""alpha"": 3.3772351967238845}]",1.850371707708594e-17,4.5324665183683945e-17,6517.204355947802,643.9695578826173,24.471360244529038,1.4030670367003142,-0.12180969306774636,,7380.630555918906,,26.996123921501443,,"[-0.12079463561680415, -0.3606875695440013, -0.4513508394048633, -0.33620110872393294, -0.46461290353784723, -0.78289536063858]","[4014.024766907987, 6531.197882436526, 11386.226164913067, 4662.700037709189, 8681.0275642868, 10992.005527151228]","[18.00249031340848, 15.563875520880966, 19.5217732110096, 26.111858246955936, 22.680336125985928, 46.074778210757536]","[0.0, 0.0, 1.1102230246251565e-16, 0.0, 0.0, 0.0]","[7170.700243343066, 6602.314032062456, 6155.461887596839, 7304.263250122449, 6260.440924810912, 5610.045797751083]","[25.453141869278824, 24.97109611542704, 24.325773959635942, 26.174680453153655, 23.68941154866688, 22.21405752101188]",,
