Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.003,"[{}, {}, {}, {}, {}]",0.761284626192953,0.0269825615905336,1579.8537563891591,299.1413660901713,10.283501176692184,0.9277154812465708,0.6493410854615503,0.1174586070911381,2388.9726403401605,1571.63354652798,12.315348409534362,2.24740193371146,"[0.505186230063021, 0.6820525336426383, 0.8058982381337202, 0.564303538622936, 0.6892648868454363]","[3402.9157734735945, 1580.1987475764806, 1137.665937295128, 4656.312261039905, 1167.7704823156937]","[13.895365815381943, 12.269656368077879, 9.062639581888986, 14.855043556857408, 11.494036725465596]","[0.7702648207897485, 0.7508841337538883, 0.7319222761484772, 0.8030149618526221, 0.7503369384200291]","[1477.9448737270013, 1724.5475870252276, 1805.4071739895353, 1099.4596328302412, 1791.9095143737895]","[9.36947795455819, 10.07419750782877, 11.42850073274405, 9.481425706920692, 11.063903981409211]",,
BayesianRidge,12.858,2.572,0.002,"[{""max_iter"": 484, ""alpha_1"": 9.052215943082273e-06, ""alpha_2"": 1.2212692797629062e-07, ""lambda_1"": 1.8411290629689964e-07, ""lambda_2"": 6.004021175492453e-07}, {""max_iter"": 499, ""alpha_1"": 9.970453702018727e-06, ""alpha_2"": 5.147519969974366e-06, ""lambda_1"": 1.0056549430503735e-07, ""lambda_2"": 2.896501868557244e-07}, {""max_iter"": 378, ""alpha_1"": 9.814665818170808e-06, ""alpha_2"": 7.307775990179088e-07, ""lambda_1"": 1.0092436934690765e-07, ""lambda_2"": 1.012730034765318e-07}, {""max_iter"": 315, ""alpha_1"": 4.707401621565873e-06, ""alpha_2"": 9.917477435384308e-06, ""lambda_1"": 1.0819784840381185e-07, ""lambda_2"": 3.022903389848001e-07}, {""max_iter"": 336, ""alpha_1"": 2.9747924479304683e-06, ""alpha_2"": 5.411407613910129e-07, ""lambda_1"": 9.853025949812334e-06, ""lambda_2"": 7.594260028133178e-07}]",0.7549629336507186,0.0274441813374065,1621.5756158478332,305.57109144997565,10.404095329676464,0.946155914098992,0.6520680927698432,0.1244639238929969,2390.43750584534,1647.7402315055358,12.18364969155489,2.388032929466547,"[0.5068459410991348, 0.6918133962853652, 0.8166006905663207, 0.5501484214683432, 0.6949320144300526]","[3391.5016673849154, 1531.6872651608066, 1074.9369055695988, 4807.5887835874355, 1146.472907523945]","[13.809999609142762, 12.523135122284836, 8.591948292136584, 14.703700394083844, 11.289465040126423]","[0.7639719395682242, 0.7451139339005983, 0.7249131862821703, 0.7973753032155285, 0.7434403052870721]","[1518.4285801157948, 1764.492791574398, 1852.6108765052156, 1130.937033716839, 1841.4087973269184]","[9.484008361863488, 10.151185928361432, 11.584122980264198, 9.60125782451585, 11.199901553377352]",,
SVR,6.356,1.271,0.01,"[{""C"": 7676.103801793136, ""gamma"": 0.0014477362153493905, ""epsilon"": 0.06508182546736309}, {""C"": 213.18471235241034, ""gamma"": 0.018203253242237177, ""epsilon"": 0.06091799850979589}, {""C"": 129.9429362264593, ""gamma"": 0.13288272888047256, ""epsilon"": 0.0163964504800205}, {""C"": 121.16286280436084, ""gamma"": 0.034544329933294655, ""epsilon"": 0.001116164788238684}, {""C"": 1106.707302188476, ""gamma"": 0.0013396118988989198, ""epsilon"": 0.01640542634597106}]",0.927370541180655,0.0904529572850063,497.2228488139767,656.9868824454463,3.1231985577609427,2.4028017160665898,0.3642368363774236,0.3101681791907283,4580.455493382303,3633.161725922708,15.48737490222834,4.240171424077223,"[-0.03264984107880897, 0.6189631110792131, 0.5300063825457907, 0.0929573627039787, 0.611907166636945]","[7101.702996522584, 1893.753145924777, 2754.718577424003, 9693.614999714957, 1458.4877473251943]","[16.409057024388268, 13.583880585210306, 13.765327980109685, 22.35394649845623, 11.324662422977209]","[0.929646955425065, 0.9756049430740389, 0.9979875757972965, 0.9618657201710507, 0.7717475114358234]","[452.59904006888195, 168.87899269910935, 13.552954122676207, 212.84409056292782, 1638.2391666162882]","[4.296096033580329, 2.9495506096624173, 0.6526140416187555, 1.1661182850251777, 6.551613818918035]",,
DecisionTree,6.871,1.374,0.002,"[{""max_depth"": 14, ""min_samples_split"": 20, ""min_samples_leaf"": 11}, {""max_depth"": 50, ""min_samples_split"": 3, ""min_samples_leaf"": 11}, {""max_depth"": 38, ""min_samples_split"": 5, ""min_samples_leaf"": 17}, {""max_depth"": 9, ""min_samples_split"": 9, ""min_samples_leaf"": 3}, {""max_depth"": 6, ""min_samples_split"": 4, ""min_samples_leaf"": 6}]",0.7354260303037977,0.1021745363025887,1759.240678285739,728.1506597619101,10.551789701616787,2.5546880106509637,0.4296860245083792,0.2400477380166745,3523.559382779425,1655.4959061729992,14.51068680286924,3.0372824054091154,"[0.23689538905067586, 0.5678157433330091, 0.7043450941415528, 0.5128273368080873, 0.12654655920857094]","[5247.9960647429425, 2147.9555378493064, 1732.8874934225234, 5206.441286427631, 3282.516531454724]","[15.206781341423122, 12.894485470867965, 10.100273052647687, 17.444935185298043, 16.906958964109382]","[0.7150714221870897, 0.7060286220045808, 0.5916328673940909, 0.8553684696492024, 0.8090287702840248]","[1833.0180532408617, 2035.0676101683034, 2750.2059486173007, 807.2518133899727, 1370.6599660122558]","[10.213449001891824, 12.0266457840578, 13.97390247538636, 7.346557899409562, 9.198393347338406]",,
RandomForest,30.559,6.112,0.143,"[{""n_estimators"": 141, ""max_depth"": 5, ""min_samples_split"": 7, ""min_samples_leaf"": 6}, {""n_estimators"": 194, ""max_depth"": 26, ""min_samples_split"": 9, ""min_samples_leaf"": 5}, {""n_estimators"": 93, ""max_depth"": 13, ""min_samples_split"": 9, ""min_samples_leaf"": 7}, {""n_estimators"": 121, ""max_depth"": 44, ""min_samples_split"": 4, ""min_samples_leaf"": 2}, {""n_estimators"": 102, ""max_depth"": 37, ""min_samples_split"": 11, ""min_samples_leaf"": 9}]",0.7793867281757217,0.0882076065317011,1489.6195267031048,653.3293082680332,8.753803128257337,2.3608160782960583,0.5623635040037293,0.2045905727136869,2882.4426204449373,1958.1304668552064,12.24621415572236,3.239809294437382,"[0.4071614872250422, 0.7084242930072667, 0.8455387294853113, 0.47156482078793516, 0.37912818951309124]","[4077.0480710378583, 1449.1311168234943, 905.325765239318, 5647.416084934691, 2333.2920641893256]","[13.463035464539585, 11.079438019527442, 7.3768876736363715, 16.037947399373063, 13.273762221535343]","[0.7749170583180953, 0.7608527305322368, 0.7100009026634321, 0.9296884830710561, 0.7214744662937881]","[1448.0158457478426, 1655.538255025698, 1953.039750038728, 392.4393208411953, 1999.06446186206]","[8.65286632210021, 8.653790263845465, 10.510169538541057, 4.977833943693028, 10.974355573106925]",,
XGBoost,16.611,3.322,0.06,"[{""n_estimators"": 169, ""learning_rate"": 0.019718431665686546, ""max_depth"": 3, ""subsample"": 0.8372541647847977, ""colsample_bytree"": 0.8271050146023681}, {""n_estimators"": 68, ""learning_rate"": 0.05710681490089687, ""max_depth"": 9, ""subsample"": 0.6602880866409292, ""colsample_bytree"": 0.6179253101175783}, {""n_estimators"": 148, ""learning_rate"": 0.015419897765454188, ""max_depth"": 3, ""subsample"": 0.6242652737250057, ""colsample_bytree"": 0.6001291178846921}, {""n_estimators"": 166, ""learning_rate"": 0.020728627123958024, ""max_depth"": 3, ""subsample"": 0.9304262014550361, ""colsample_bytree"": 0.6086015360477833}, {""n_estimators"": 50, ""learning_rate"": 0.06051523486875498, ""max_depth"": 6, ""subsample"": 0.6025156394573762, ""colsample_bytree"": 0.6080970604056448}]",0.9285825018836846,0.0523065454548117,472.7742580532079,358.20798160195466,5.300566002837956,2.058254060298051,0.5711177687247676,0.1530007682195574,2802.885555726716,1742.720257513684,12.70009329150391,2.7554550265673705,"[0.5348659235567013, 0.6182909492165178, 0.8103392713238189, 0.4741958442485086, 0.4178968552782911]","[3198.8036341643565, 1897.0937900436577, 1111.6362292791177, 5619.298191206954, 2187.595933939494]","[12.264374215786678, 11.923285459638377, 8.761111158178633, 15.905230504449419, 14.646465119466438]","[0.9412654619944045, 0.9708758669488402, 0.8375910708958061, 0.9523488805125979, 0.940831229066775]","[377.8542304861772, 201.61683851946648, 1093.7657986348343, 265.96173409054626, 424.6726885350151]","[5.399868014264114, 2.8910469975064315, 8.56258476334206, 4.959325219560035, 4.690005019517137]",,
GPR,33.939,6.788,0.332,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09695233664171862}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.0983093555647793}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.02434172666116844}]",0.9511755726070442,0.0284449883470902,308.6539045762236,165.15465819577923,4.328595066603002,1.6007968734264797,0.5779406106027771,0.1983074878177279,2926.8521586406323,2337.234682724614,12.371003773513523,2.724881449484995,"[0.4547981760391072, 0.7985972344777676, 0.784610354683764, 0.3785531987632067, 0.4731440890500396]","[3749.4427180540865, 1000.9716431549172, 1262.4381168223201, 6641.4364510494925, 1979.971864122346]","[12.686642880814198, 10.00933358147872, 9.984835469295216, 16.649481540169436, 12.524725395810057]","[0.9340128322665178, 0.9504466272912492, 0.9563268594384006, 0.9199048116580656, 0.9951867323809875]","[424.5122432651447, 343.04177659006064, 294.12291386148684, 447.04626906743766, 34.546320096988396]","[5.244433926835088, 4.60620074848603, 4.842446099384761, 5.425960453564327, 1.523934104744802]",,
NNR,3760.82,752.164,3.273,"[{""hidden_layers"": 2, ""units"": 32, ""activation"": ""tanh"", ""learning_rate"": 0.0017011101162395159}, {""hidden_layers"": 1, ""units"": 71, ""activation"": ""tanh"", ""learning_rate"": 0.0001718986729314186}, {""hidden_layers"": 1, ""units"": 80, ""activation"": ""tanh"", ""learning_rate"": 7.183588507684121e-05}, {""hidden_layers"": 1, ""units"": 110, ""activation"": ""tanh"", ""learning_rate"": 0.00017211053068013732}, {""hidden_layers"": 1, ""units"": 120, ""activation"": ""tanh"", ""learning_rate"": 0.00036324869566766035}]",0.8034850229835779,0.1159528471422622,1307.5048674238465,804.0575003871892,9.193157586950928,3.8214454883900433,0.6260371501028565,0.1036422965720354,2593.4757338669465,1834.391389317282,12.625698482596968,1.8726213207756843,"[0.582484394161854, 0.724818746933978, 0.7033227077350825, 0.4687877374222198, 0.6507721642611484]","[2871.323570803142, 1367.6506890692078, 1738.8798871968572, 5677.094928974049, 1312.4295932914754]","[12.555549998958284, 11.83120847008763, 10.871242120165844, 15.790341756791578, 12.080150066981505]","[0.9754127927887267, 0.7575663886097408, 0.6560814745440471, 0.8230113144376889, 0.8053531445376862]","[158.1757612485991, 1678.28852427985, 2316.1677300348097, 987.8512453207642, 1397.0410762352096]","[3.054776007859401, 10.106342086132765, 13.552613787613222, 9.115863277509513, 10.136192775639739]",100.0,8.0
Ridge,5.127,1.025,0.002,"[{""alpha"": 0.46662707371226736}, {""alpha"": 1.3498917457294097}, {""alpha"": 6.660205879211856}, {""alpha"": 1.3945695655198433}, {""alpha"": 8.570017795061833}]",0.7569975508871797,0.030324916734492214,1609.5330431418029,323.68129969540405,10.362034524990193,1.001165712264435,0.6529458777511136,0.12206160163959509,2373.5334688475696,1603.9252401649921,12.144396521372116,2.395204281248139,"[0.506711085363926, 0.6890382422322809, 0.816804340965998, 0.5604503597286286, 0.6917253604647345]","[3392.4290924817233, 1545.4797794061842, 1073.743273319166, 4697.491397709589, 1158.5238013211847]","[13.894198642265444, 12.379435902518829, 8.560363891987254, 14.633217825329181, 11.254766344759872]","[0.7701342986817354, 0.7503660581339161, 0.7238015517495019, 0.8019947727399503, 0.7386910731307945]","[1478.7845556647392, 1728.134054935855, 1860.0973357726982, 1105.1537543624372, 1875.4955149732841]","[9.371473715896201, 10.080317276086992, 11.594188596666068, 9.536594541415525, 11.227598494886177]",,
Lasso,5.571,1.114,0.002,"[{""alpha"": 6.749767614537084}, {""alpha"": 0.35488386418248186}, {""alpha"": 9.80377583234687}, {""alpha"": 2.673981585877347}, {""alpha"": 9.285452205419004}]",0.08930003993117537,0.19968095967955343,5951.668353690943,1320.844181962835,23.221970132885936,3.017686344589012,0.059448485505500456,0.24113297466700093,6138.665228032076,3128.0944771253035,23.12698245545908,4.7343260077052705,"[-0.049439945235507654, 0.48518060076461356, -0.024166096259173653, -0.005752954189848225, -0.10857917755258173]","[7217.171307520419, 2558.6521547728566, 6002.824861781955, 10748.537634136097, 4166.140181949053]","[24.08709424964265, 16.940204105256797, 21.230302539473904, 29.966528690317855, 23.410782692604197]","[0.0, 0.4465001996558763, 0.0, 3.3306690738754696e-16, 2.220446049250313e-16]","[6433.254492444971, 3831.697914252392, 6734.640790181715, 5581.4372663555305, 7177.31130522011]","[24.09819539160105, 18.134765649479238, 25.05947001033672, 23.069830530441553, 25.747589082571103]",,
