Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.003,"[{}, {}, {}, {}, {}, {}]",0.6725568751355185,0.0797624907837765,371.2170442093429,129.85137866091029,11.57544217439288,2.953173039305753,-1.2406242395255571,,2498.5203467884744,,32.58347470068112,,"[-0.3212739519341128, -2.417180455017821, -0.3110747623290673, -4.50202515536371, -41.75419745776773, -0.03394481384548542]","[719.1413553562892, 2635.511816534011, 1366.8634517313485, 2993.255511120479, 7140.812985255546, 538.3229859258224]","[14.277473150464825, 23.14406886548819, 20.510917245337232, 29.3543319411694, 99.86943865414808, 12.394139664021422]","[0.6062795872373918, 0.71062805532769, 0.5885752783142759, 0.6884371407603915, 0.8044528425648656, 0.6369683466084974]","[475.65200302455855, 314.48043579665875, 434.379683617711, 403.76497304363176, 133.90875992811291, 465.11640984538406]","[13.360131126094185, 11.34992774531877, 13.252922312301688, 12.455112701540857, 5.754942726043149, 13.279616435058639]",,
BayesianRidge,13.819,2.303,0.002,"[{""max_iter"": 242, ""alpha_1"": 3.1987066713578754e-06, ""alpha_2"": 2.889102513847142e-07, ""lambda_1"": 1.0177793183614996e-07, ""lambda_2"": 9.985515243562344e-06}, {""max_iter"": 486, ""alpha_1"": 9.790976205152455e-06, ""alpha_2"": 1.1187779028510153e-07, ""lambda_1"": 1.0712546571712282e-07, ""lambda_2"": 7.671156177694262e-07}, {""max_iter"": 388, ""alpha_1"": 1.511433359111953e-06, ""alpha_2"": 8.553386640276945e-06, ""lambda_1"": 1.7117063715532729e-07, ""lambda_2"": 9.942542707272533e-06}, {""max_iter"": 289, ""alpha_1"": 9.749375789243938e-06, ""alpha_2"": 6.35702925046314e-06, ""lambda_1"": 2.94284802084282e-07, ""lambda_2"": 2.245439986368836e-07}, {""max_iter"": 277, ""alpha_1"": 8.200893519202134e-07, ""alpha_2"": 6.516986941891421e-06, ""lambda_1"": 7.024710251850163e-06, ""lambda_2"": 9.83510695816125e-06}, {""max_iter"": 247, ""alpha_1"": 9.92446532830039e-06, ""alpha_2"": 4.918261962079909e-07, ""lambda_1"": 1.098255642374841e-07, ""lambda_2"": 1.3952291802731973e-06}]",0.5174686616307683,0.1474349331447057,551.3913019380275,231.793061654441,14.484390678125513,4.571906806431688,-0.8320085393769545,,2042.8729326309444,,30.69185796239321,,"[0.1732950246857442, -2.2231606865623377, 0.2692031280012268, -1.4264790715103821, -40.117151076602354, -1.0203914530867553]","[449.95796334061686, 2485.873423380158, 761.893649146456, 1320.0724548371916, 6867.393233484075, 1051.916064765145]","[10.313446540944305, 22.042202430189857, 16.395191718432425, 21.683944364877785, 100.66522886702036, 17.197242938633394]","[0.39135638678929163, 0.6395445491499101, 0.43401870714310997, 0.5627691450435353, 0.7229153504219958, 0.354207831236767]","[735.299832996803, 391.7317810369763, 597.5595582039853, 566.622429888453, 189.74482834103156, 827.3893811609155]","[17.761395918256724, 12.959524129156827, 15.105151497437234, 15.473116883085202, 6.306097898586121, 19.30105774223096]",,
SVR,6.718,1.12,0.007,"[{""C"": 400.07064346657666, ""gamma"": 0.0075678479472618045, ""epsilon"": 0.0010542753363931038}, {""C"": 856.9526698235419, ""gamma"": 0.00630203405461857, ""epsilon"": 0.015667269684793348}, {""C"": 1915.1406826658094, ""gamma"": 0.18521654519539735, ""epsilon"": 0.22338470656502152}, {""C"": 1444.4666816946385, ""gamma"": 0.014779022760295534, ""epsilon"": 0.006098501154800787}, {""C"": 1753.8171176992125, ""gamma"": 0.0015070489622501816, ""epsilon"": 0.0022212184428214822}, {""C"": 195.32118221050877, ""gamma"": 0.025496761366620047, ""epsilon"": 0.44480038484448425}]",0.9516362276666512,0.0449542683442965,54.30660556767347,58.986986605671056,3.296630823874528,3.423585624383945,-1.5428662987583124,,2835.550501745732,,33.16566349961707,,"[-0.3915354910090558, -3.513235095920111, -0.6444386963529865, -4.4936149010054205, -44.56626823097042, -1.2836849971896473]","[757.3832191013583, 3480.8476118453714, 1714.4126462053619, 2988.6800976141744, 7610.485501330224, 1188.9997513782705]","[12.802586208332636, 25.06700245833653, 16.06619322414508, 31.35680793493033, 100.30810207328167, 14.626911223485958]","[0.9408949948115086, 0.9865657570437578, 0.9610734195030652, 0.9999619360661417, 0.9493035529543292, 0.8720177056211045]","[71.40451242906146, 14.59991770889013, 41.09844360177783, 0.049328354688226175, 34.71642567291686, 163.97100563870632]","[2.2747595535356036, 1.1777747664006142, 4.9534364723270325, 0.1818203529763082, 1.7198065766168904, 9.472187221390717]",,
DecisionTree,7.415,1.236,0.001,"[{""max_depth"": 28, ""min_samples_split"": 5, ""min_samples_leaf"": 11}, {""max_depth"": 34, ""min_samples_split"": 14, ""min_samples_leaf"": 16}, {""max_depth"": 13, ""min_samples_split"": 2, ""min_samples_leaf"": 6}, {""max_depth"": 12, ""min_samples_split"": 12, ""min_samples_leaf"": 7}, {""max_depth"": 23, ""min_samples_split"": 5, ""min_samples_leaf"": 14}, {""max_depth"": 38, ""min_samples_split"": 5, ""min_samples_leaf"": 2}]",0.627624504907331,0.210518900721685,405.31694625495015,256.29349928293266,11.449590442539805,5.4172377716642,-1.203685643085639,,2457.330113656619,,32.70566398929367,,"[-0.3817774869274717, -0.17813780445081973, 0.7432414905724096, -1.4122628173764014, -42.435531976560235, -5.231185020036046]","[752.0721446867524, 908.6427088087096, 267.6840654259395, 1312.3384151277323, 7254.609586955349, 3244.2641821146035]","[14.848350613044056, 14.344238490867694, 9.95326668576095, 18.853905682258294, 102.36346269614984, 29.964097758129842]","[0.4267675198325497, 0.39212195507696535, 0.6926889864040067, 0.6255518068349477, 0.6533011810839915, 0.9753155802115254]","[692.519789556306, 660.622966387071, 324.45707275712687, 485.26022963234993, 237.41592318970015, 31.625696007147113]","[16.99735836575513, 17.41097819766201, 11.065222029895619, 12.121343522318774, 7.813871831529857, 3.2887687080774333]",,
RandomForest,38.669,6.445,0.171,"[{""n_estimators"": 162, ""max_depth"": 33, ""min_samples_split"": 2, ""min_samples_leaf"": 2}, {""n_estimators"": 138, ""max_depth"": 35, ""min_samples_split"": 5, ""min_samples_leaf"": 1}, {""n_estimators"": 194, ""max_depth"": 49, ""min_samples_split"": 2, ""min_samples_leaf"": 1}, {""n_estimators"": 87, ""max_depth"": 15, ""min_samples_split"": 5, ""min_samples_leaf"": 1}, {""n_estimators"": 119, ""max_depth"": 12, ""min_samples_split"": 2, ""min_samples_leaf"": 8}, {""n_estimators"": 89, ""max_depth"": 41, ""min_samples_split"": 4, ""min_samples_leaf"": 1}]",0.8580806938181113,0.0730262796686124,144.4406083740682,45.35938618774591,6.372690502668917,0.9047289886560486,-1.039252086157504,,2273.9702354439564,,30.25932178361572,,"[0.06124093272812603, -1.076407890489273, 0.2632950996047836, -0.7524253694472478, -43.08769586390888, -3.7210548712973814]","[510.9466261729242, 1601.4365068994866, 768.0530752287212, 953.3683956009768, 7363.534105065975, 2458.015477232477]","[10.061596055050794, 15.141928198706891, 13.653638304931013, 15.38621580129545, 103.71540141719883, 24.19747970254165]","[0.8312246702501915, 0.8663778461271051, 0.8900695366461822, 0.8968615635427406, 0.7271328414546402, 0.9368177048878081]","[203.89677815620453, 145.21640385567486, 116.0639051924932, 133.66062988881947, 186.85673218255542, 80.94920096866161]","[7.387572585970304, 6.3389041919633655, 5.607430236703425, 7.1099331775737715, 6.755865466209513, 5.036437357593123]",,
XGBoost,19.179,3.197,0.098,"[{""n_estimators"": 82, ""learning_rate"": 0.12100554593176074, ""max_depth"": 4, ""subsample"": 0.90484174090371, ""colsample_bytree"": 0.6976784126268127}, {""n_estimators"": 85, ""learning_rate"": 0.1317167345481693, ""max_depth"": 8, ""subsample"": 0.7127408909880668, ""colsample_bytree"": 0.8449936851986363}, {""n_estimators"": 163, ""learning_rate"": 0.1419424736493578, ""max_depth"": 5, ""subsample"": 0.6716543882997582, ""colsample_bytree"": 0.760234585432994}, {""n_estimators"": 197, ""learning_rate"": 0.06100453496192571, ""max_depth"": 3, ""subsample"": 0.6362976573340353, ""colsample_bytree"": 0.9962053325534367}, {""n_estimators"": 157, ""learning_rate"": 0.17102759580478968, ""max_depth"": 3, ""subsample"": 0.9961693351381125, ""colsample_bytree"": 0.6112690204580313}, {""n_estimators"": 116, ""learning_rate"": 0.02356576972562907, ""max_depth"": 5, ""subsample"": 0.8628763109754142, ""colsample_bytree"": 0.8405340010109432}]",0.9936237105558032,0.0135250249226027,8.147060923279538,17.341263863624828,1.0871143764834812,1.5284234339963352,-1.2565983315218414,,2516.3330586078546,,32.39936178043546,,"[0.2961455474120429, -0.33872756767393875, 0.4100150317549588, -1.0238980307730157, -58.639961938044635, -2.721173095353317]","[383.093032498459, 1032.4980989937508, 615.0899348656833, 1101.0571132433777, 9961.076104118538, 1937.4273994248147]","[10.266895940413514, 11.86234699320919, 12.416322951380343, 18.465047998827295, 118.06690970658258, 21.854496395799913]","[0.9988536285880892, 0.9998695870643618, 0.9999939258045737, 0.9970248208481655, 0.9998880341947654, 0.9661122668348642]","[1.384926563648137, 0.1417287252206334, 0.006413098067397654, 3.855636493297797, 0.07667307635653454, 43.41698758308672]","[0.7734836639052197, 0.20889660527851667, 0.04854764545356873, 1.2877910574846143, 0.14853169267598593, 4.055435594102982]",,
GPR,37.84,6.307,1.059,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 2.0438231938571126e-09}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 3.4385871347855435e-09}, {""kernel"": ""Matern_nu_0.5"", ""alpha"": 0.05360294728728273}, {""kernel"": ""RationalQuadratic"", ""alpha"": 3.772715053653588e-09}, {""kernel"": ""Matern_nu_0.5"", ""alpha"": 0.09864775063547042}]",0.9931589175819088,0.0093633835041857,8.059135358236235,10.643742247976116,1.2315190945266188,1.4681789305985915,-0.9236257669977834,,2145.035313671445,,29.59526235865258,,"[-0.004488280462139338, -2.3509592803885258, -0.3684798013017645, -0.6394558177233982, -45.52784231357044, -0.8327334619139106]","[546.7216411809451, 2584.438514863918, 1426.7111827467822, 891.9098010402856, 7771.0877603738645, 954.2120008845129]","[11.414211172908484, 18.90190754505669, 15.36209318636198, 16.23576371240483, 106.44451034728377, 14.923558410000767]","[1.0, 0.9778889943317972, 0.9999999999999999, 0.995581724099796, 0.9999999999999999, 0.9854827870598604]","[4.033978328606424e-14, 24.029553750668693, 1.0374556293207825e-13, 5.725794961886829, 5.0768041820374195e-14, 18.59946343686169]","[8.298333118816831e-08, 3.286645288119589, 1.2735693948965321e-07, 1.4765956416950023, 1.2401045691478163e-07, 2.625873302994393]",,
NNR,4103.016,683.836,2.971,"[{""hidden_layers"": 1, ""units"": 114, ""activation"": ""relu"", ""learning_rate"": 0.0004227895651150218}, {""hidden_layers"": 1, ""units"": 67, ""activation"": ""selu"", ""learning_rate"": 0.005634142758411241}, {""hidden_layers"": 1, ""units"": 85, ""activation"": ""selu"", ""learning_rate"": 0.0026744846906560852}, {""hidden_layers"": 2, ""units"": 49, ""activation"": ""tanh"", ""learning_rate"": 0.009506709036584605}, {""hidden_layers"": 2, ""units"": 82, ""activation"": ""tanh"", ""learning_rate"": 0.00019871782886417353}, {""hidden_layers"": 1, ""units"": 115, ""activation"": ""relu"", ""learning_rate"": 0.00023437358552960588}]",0.8977685614024603,0.0647386625966002,113.57850008289596,86.50012405280769,5.264763370769912,2.851738882015133,-1.3927513232551405,,2668.157275324265,,34.69237633842765,,"[-0.06519312859158655, -2.5613880120564825, -0.6011473789690851, -3.255840285464574, -47.746232261697585, -1.4621601648699887]","[579.7620009765836, 2746.7323755919356, 1669.2792020955553, 2315.2961008360367, 8141.603608872586, 1281.9227815949016]","[14.290092350395362, 20.81684291236424, 17.440908043640743, 29.3464377880531, 107.34236193744088, 18.660922131325954]","[0.8652858853614548, 0.921425093345495, 0.8844872808853214, 0.999695263898485, 0.9107253237629338, 0.8049925211610721]","[162.74756498881092, 85.39276644587251, 121.95761639521493, 0.3949179440513103, 61.13441557878346, 249.8437191446427]","[7.096737458844364, 5.27185521825736, 6.073788522387667, 0.3966427834415985, 4.084744424277465, 8.664811817411014]",100.0,8.0
Ridge,4.629,0.771,0.0,"[{""alpha"": 0.9474388372179865}, {""alpha"": 0.05856946183403783}, {""alpha"": 5.694974302920603}, {""alpha"": 1.6283325704362963}, {""alpha"": 10.50771632063903}, {""alpha"": 1.3417439611407174}]",0.6045160478747446,0.09963127742300447,444.94973917702737,156.06533032861117,12.711940477735018,3.3937616051419432,-0.9217083632659342,,2142.897216549882,,30.644455500671498,,"[0.2895178465785724, -2.526311510007611, 0.22724468828270894, -3.018124402728451, -40.116748668227075, 0.06140427893181266]","[386.7003493257537, 2719.67950646507, 805.6374991470714, 2185.9720145244514, 6867.326023172048, 488.67951594381236]","[10.578265263180029, 23.257041201076817, 16.727768468703264, 27.537865345792135, 100.65023299910338, 9.710005991752038]","[0.5379065076858986, 0.70484583331494, 0.4685996386884719, 0.6306602050016631, 0.7234133051528016, 0.5616707974046926]","[558.25323777749, 320.7643749687918, 561.0492239626842, 478.64008160471315, 189.40383386493104, 561.587682883554]","[15.172232163266465, 11.603378632355493, 14.667782730474288, 13.744819613055304, 6.299414310761165, 14.784015416497393]",,
Lasso,5.801,0.967,0.004,"[{""alpha"": 1.249247941259113}, {""alpha"": 0.056187399275912674}, {""alpha"": 1.6269925885755072}, {""alpha"": 1.1676513821048489}, {""alpha"": 0.026940467849687365}, {""alpha"": 1.3854576698679708}]",0.20396821830802137,0.3236427067365252,928.8395291081692,457.9394852838497,18.81006120044442,6.803631451388421,-0.5514509019496439,,1730.0230789189854,,25.931905827623897,,"[-0.40488700847288217, -0.9751531386833747, -0.7444672552804461, -0.03125980824098806, -37.43856460301021, -0.04217598798407862]","[764.6501665432148, 1523.3434420533483, 1818.697607868733, 561.0341678291239, 6420.015286753804, 542.6085437047554]","[12.9758955375911, 16.26810412681224, 16.58616501872551, 12.672102338565146, 97.77771738340721, 7.943174109085023]","[0.0, 0.5012552103666277, 0.0, 0.0, 0.7225540994815004, 1.1102230246251565e-16]","[1208.0958660158437, 542.0203363972637, 1055.7938323150195, 1295.934226656698, 189.99220941319393, 1281.2007038509962]","[22.257192349168466, 15.644566842374813, 20.892189274076078, 23.30493447184759, 6.395077567165878, 24.366406698033703]",,
